tmpd,dptp,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
83,70.8,21.3,58.5,45.45998024,19.77566425
79,68.4,15.6,34,39.07176764,24.54649759
82,70.3,21.4,43,49.65552585,21.15277778
78,69,11.45,22.18181818,40.82317493,18.32638889
77,68.2,14.6,31,22.81568794,30.93448068
74,60.5,9.1,19.5,28.32032279,18.76328502
70,56.7,22.1,27.5,25.44466403,20.17361111
73,57.8,25.7,53.5,28.4280303,31.56646825
79,65.4,21.6,43.5,35.14393939,24.93055556
69,62.4,15.25,23.92307692,26.56060606,12.43055556
70,56.3,8.2,19,26.93181818,11.71527778
78,69,24.4,36.5,31.58794466,24.55555556
72,66.7,18.8,31.5,35.76284585,16.18551587
74,64.9,14.7,19.5,36.11429513,16.03321256
75,64.2,25.4,33,33.60438376,26.45144928
73,62.4,20.6,30.91666667,31.49173554,19.54602312
71,55.9,13.5,23,39.79166667,18.66666667
71,55.6,19.8,26,39.68939394,25.73611111
73,60.3,30.3,64.5,37.01886454,37.93055556
78,67.1,41.4,75,40.08090173,32.59053658
79,66.1,32.6,57.5,40.23070128,24.52596618
76,67.6,9.8,23.83333333,20.59432267,27.94834212
73,56.6,13.7,35,22.10424901,21.65522069
72,51.1,8.5,25.5,22.70685112,23.41968599
70,55.4,11.3,28.5,25.38636364,25.28472222
70,56.8,11.6,23,28.59848485,21.66666667
74,65.1,25.2,44,30.00378788,22.11679293
79,64.9,11.35,44.15384615,26.95421607,20.07575758
77,55.2,16,20,34.11429513,15.24223603
72,57.5,16.8,29,21.85556654,23.26660628
71,54.7,13.9,12,26.34914361,10.12461572
72,57.3,11.8,30,32.78409091,20.31944444
72,55.9,11.6,29,40.5530303,23.93055556
78,64.8,36.4,61.53846154,34.80220685,24.71527778
70,68.6,16,25.5,21.27555695,26.94886364
77,70.1,32.5,35.61538462,22.76666667,23.56944444
70,60.9,20.7,29,30.58628279,15.43222991
71,60.2,22.9,41.5,32.95032339,27.89772727
71,64.4,28.4,60,28.31095041,42.22916667
71,64.3,13.95,28.46153846,22.99242424,20.74305556
72,62.9,16.4,24.5,29.03787879,17.74305556
75,69,29,53.5,25.57883964,31.53472222
68,63.9,8.8,16.5,23.26778656,16.22054787
69,55.1,16,34,22.77533879,20.96527778
73,65.4,24.4,51.5,27.13389328,32.76344972
80,70.8,29.3,48.27272727,33.16817488,24.82638889
78,69.5,21.3,40,34.10745614,18.10416667
81,71.2,39.6,59,45.86363636,14.32638889
76,71.4,23.4,54,20.87774484,27.11624396
76,63.9,13.2,26.5,26.91604258,23.625
73,60.9,14.8,34,26.78244401,26.0898386
72,64.5,18.95,32.41666667,28.26342975,27.30709267
69,66.4,21.5,35.5,14.71212121,33.1468254
76,63.1,11.3,29,22.03787879,23.75
70,55.7,7.2,20,23.48863636,18.80555556
69,54.6,8.6,28,20.15834232,24.5864899
69,58.5,14.3,45,19.47697329,31.97213204
65,50.1,24.15,44.69230769,22.6763834,28.0770202
68,57.9,19.3,42,25.61742424,31.74098516
69,54.2,14.7,25.5,36.78985507,20.09325397
70,61.4,27.3,45,33.06666667,37.04166667
81,70.4,31.5,50.5,50.6625,20.3125
66,57.1,10.3,21.5,30.375,14.48611111
63,46.9,5.15,14.69230769,18.02823692,16.90618138
63,50.3,7.4,17.5,16.171278,20.70742754
63,52.8,14.8,39.5,17.32512876,35.66477273
71,53.1,21.7,48,30.59376872,44.89251208
74,56.7,24.5,57,37.39393939,44.45138889
74,62.7,28.1,58.5,37.07575758,37.76388889
72,67.5,26.45,48,24.15118577,27.875
70,67,11.2,18,16.50971673,14.75808081
72,64.9,12.9,17.5,25.58924722,12.28445641
68,58.4,15.3,21.5,28.64426878,17.19736842
68,57.8,20.9,46,28.23468379,27.55042271
72,60.9,33.7,58.5,37.625,35.72222222
76,66.3,30.3,47.58333333,22.02272727,27.79861111
63,51.8,5.5,13.5,14.63932806,14.58574879
58,47.7,4.6,10,19.67694805,13.3125
56,41.5,9.9,27,11.92276021,28.82487923
59,53.6,21.3,37,8.425395257,33.30237154
66,64.1,31.6,57.5,12.30434783,34.63345411
79,65.8,29.65,53.23076923,39.59469697,18.53472222
73,63.8,19.2,34.5,32.76893939,13.69444444
63,52.5,9.4,28.5,19.38594442,22.35507246
63,57,21.3,44.5,7.932117619,40.13134058
64,57.9,17.7,35.5,15.72028087,28.16746267
53,35.7,5.1,14.5,11.80747694,20.65869565
49,41.9,7.55,23.38461539,12.82842257,24.24166667
55,49.3,7.1,12.5,21.75757576,11.25
60,50.3,8.4,15,21.96969697,9.675
65,61.4,32.5,37,12.38339921,19.4
65,61.2,9.3,15.5,10.65494071,18.81376812
56,49.2,7.3,17,4.705319499,17.89166667
54,44.8,5.15,11.30769231,12.69619565,18.25
53,45.6,16.3,29,6.706521739,29.275
53,46.4,26.4,45.5,9.966666667,31.4
56,49.1,30.9,34.5,22.19166667,28.34166667
60,46.9,18.1,39.5,10.9625,33.74166667
49,36.8,6.9,24,7.009222661,21.71666667
48,40.4,6.45,25.15384615,6.15513834,21.38600132
58,48.4,14.8,26.5,7.39692029,27.10963204
68,57.2,24.9,45.5,25.15344203,27.55
67,64.4,32.2,46.5,24.37083333,21.25
57,48.1,6.3,14,16.2875,9.575
52,39.2,9,25,7.937681159,23.44166667
50,33.9,6.45,19.91666667,9.879957181,27.52424242
54,38.9,18.2,45.5,11.22083333,31.5
55,44.8,23.8,35.5,7.670833333,34.875
62,49.7,28.6,55.30769231,10.78354646,46.73333333
63,58.6,36.1,64.5,5.209057971,39.39166667
54,52.3,11.7,16.5,12.29393939,20.03787879
52,51.9,29,33,5.102503294,25.13690476
61,58.4,41,45,1.479166667,23.025
57,52.7,11.5,15.5,4.725,13.13333333
54,50,5.55,8.833333333,19.64166667,8.8
49,39.8,5.5,8,22.3,10.77651515
41,33.4,3.7,7.5,28.775,10.975
37,32.8,10.2,11,19.65942029,25.92704216
39,27.4,10.8,20,5.524358974,30.46792929
38,25.8,13.5,23,6.987689394,30.27182148
35,26.1,21.25,38.38461539,5.791666667,31.63541667
37,31.8,33.7,34,5.84375,30.40625
43,37.3,36.5,45,6.138586957,28.19067029
52,41.2,9.8,31,14.70833333,12.61666667
41,28.5,11.3,25,14.20833333,18.9
40,31.1,19.4,28,1.805555556,33.1969697
43,34.6,20.5,31.09090909,8.561868687,31.84772727
50,40.2,16.6,27,6.819444444,23.81666667
43,32.2,15.1,16,14.25,16.75833333
48,39.1,23.5,31.5,3.541666667,22.25
42,34.6,18.9,27,4.138888889,25.575
48,38.7,24.1,35.5,3.977272727,25.62272727
45,31.1,12.95,25.84615385,5.350845411,14.99320652
31,24.4,14.8,17,5.357142857,22.03690476
34,24.4,16.5,28,5.5,27.04166667
49,34.9,11.7,40.5,12.59722222,20.55833333
50,35.4,10.9,34,9.347222222,25.56195652
46,30.1,17.6,34.5,3.375,37.32651515
50,35.8,14.7,33.30769231,1.199792961,30.54135611
54,48.6,28,39,8.305555556,28.94166667
63,58.4,31.7,43.5,10.34722222,15.51666667
52,50.7,25.1,31,9.513888889,17.76666667
45,37.7,17.85,22.84615385,3.637681159,25.025
55,45.8,14.8,29,5.847222222,25.81683136
61,54.9,22.9,37,6.074055775,24.47401186
61,59.3,31.6,42.5,0.555555556,24.39166667
59,56.6,23.9,30,4.805555556,21.25
50,49.2,15.6,17,4.819444444,14.10833333
39,31.6,11.8,9.166666667,15.52777778,19.1452381
38,29,24.9,25,2.944444444,33.53949275
39,29.5,20.7,27.5,3.089646465,31.04047619
35,29,23,22.5,1.892512077,30.09166667
39,26.1,15,28.5,2.940217391,32.025
38,26.1,18,27,3.722222222,34.15833333
38,31.2,19.5,24.61538462,9.166666667,28.31666667
36,32.1,22.9,40.5,4.618357488,40.96488801
32,22.3,14.2,19.5,5.431763285,29.56666667
43,30.1,14.3,40,5.25,24.24772727
35,26.3,17.75,21.66666667,6.041666667,18.65833333
31,27.6,19.2,16.5,2.805555556,24.725
23,18.8,22.6,22.5,3.691919192,24.7969697
10,-1.9,14.8,24,11.89855073,23.79130435
17,5.7,15.8,25,5.881038647,27.94772727
19,4.8,11,24,7.333333333,28.1
25,11.1,11.8,17.58333333,11.88888889,19.575
13,5.1,20.4,23.9,6.388888889,28.16976285
12,9.8,22.33333333,22,5.516908213,32.85362319
16,10.9,14.1,23,12.73611111,36.25075758
29,25.8,13.3,10.85714286,19.01388889,16.89021739
30,28.8,28.6,48,3.958333333,44.49177019
33,30,21.45,16.14285714,14.875,21.59166667
34,28,31.92857143,38,15.22222222,24.66666667
36,27.5,32.5,22.5,20.59722222,16.10833333
31,24.2,19.6375,23.85714286,3.055555556,32.68484849
37,36.2,27.6,29.5,4.432147563,29.67965839
49,47.8,17.38,24.85714286,12.08152174,16.27045455
34,21.9,13.3,27.5,12.66666667,27.075
27,20.4,15.25,16.42857143,11.10732323,23.64590909
25,17,10.25,10.5,20.79166667,20.91666667
29,14.9,19.8,32.85714286,11.40821256,23.34384058
27,22.9,39.9,52.5,3.375,31.75
36,27.9,48.1,40.5,5.647342995,34.73902692
38,25.3,10.1,18.25,21.23611111,25.35833333
30,18.4,18.8,20.5,12.7602657,33.44347826
21,14.4,11.84285714,17,35,18.73333333
28,18.1,10.91428571,19.14285714,29.9375,22.40833333
43,29.8,20,36.5,12.86630435,37.56880764
36,23.7,10.48333333,18,23.62504313,27.475
32,23.3,9.914285714,18.28571429,32.43236715,24.88333333
35,25.9,11,14,31.45138889,25.1
60,41.3,26.81428571,61,31.07295784,21.19791667
53,42.4,11.61666667,15.14285714,23.4967032,19.83787879
55,43.7,14.5,35.5,29.00955204,28.47644928
45,40,8.4,12,30.86166008,18.1
45,32.1,10.925,21.42857143,23.55335968,26.88333333
50,33.3,19.9,32.5,19.89624506,32.95
49,39.4,16.95,25.5,35.46864894,18.65846509
42,37.1,19.18571429,24.28571429,12.35833333,29.74166667
45,39.4,25.9,35.5,22.3904809,28.24456522
44,24.6,7.1375,13.42857143,31.85,18.625
51,29,9.1,22.28571429,30.85721344,26.46717172
58,52.8,11.475,22.5,19.72944365,23.28502416
62,52.7,21.38333333,41.14285714,28.88125824,25.80724638
60,54.8,45.6,45.5,22.42424242,23.55555556
61,52.3,8.6375,15.375,22.28491436,21.83055556
66,56.8,34.7,54.5,47.50872859,27.77777778
51,40.7,6.433333333,13,17.48264762,17.6625
70,56,32.4,48.57142857,51.84848485,26.75833333
75,68,17.51666667,26.14285714,30.36742424,21.18333333
78,67.5,32.78333333,43.28571429,32.7997365,34.83967391
75,68.2,36,39.5,39.6780303,30.95833333
57,42.9,6.3625,13.14285714,25.38833992,13.23218599
67,54.4,26,39,52.96590909,19.26388889
76,67.3,49.04285714,57.57142857,45.56603336,27.47288098
76,66.2,24.9,37.5,35.59917355,27.09027778
66,51.1,8.2125,20.625,23.53136175,16.96484765
87,74.4,24.5,32.875,33.29166667,10.27083333
76,60.4,20.4,59,38.98890586,29.3969697
67,50.3,10.4625,23.57142857,21.34090909,22.20833333
75,70.6,19.45,29.28571429,26.09848485,17.41666667
76,70.4,23.3,26.5,27.93297101,17.04419192
83,72.8,18.78571429,33.875,25.66886753,29.45833333
80,69.5,20.4,41.5,24.02437418,30.175
83,76.6,22.61666667,42.85714286,30.48919032,25.02651515
76,58.3,13.63333333,29.14285714,23.77018453,25.26136364
73,55.6,10.9,19.5,20.493083,22.71259568
78,63.8,15.82857143,31.42857143,31.21805007,20.36111111
73,57.9,21.36666667,32.85714286,30.06105522,27.99305556
68,62.3,12,16.5,23.57578752,15.08509003
67,57.1,20.37142857,28.57142857,22.62962963,34.34027778
70,66.1,28.8,24,32.69089113,20.80222646
74,66.1,29.3,57.5,24.51594203,42.29710145
80,69.7,39.54,56.57142857,31.5125,30.65
76,61.5,44.95714286,74,48.11655588,42.98278986
62,46.6,8.4,40.28571429,13.40680022,21.22101449
55,46.2,9.816666667,24.28571429,10.45685112,22.58374506
59,47.8,8.7,18,13.71945742,20.67043886
51,44.6,5.65,11.875,15.88043478,14.54960318
57,47.1,6,9,21.25148221,10.42561484
66,58.7,11.1,23.57142857,37.12348485,14.20138889
58,56.7,8.3,12.5,18.04531519,19.25297619
56,38.9,9.1,29.5,13.51123188,26.26346618
44,40.2,7.45,14.75,16.40833333,15.3
52,41.8,10.55,20.5,17.61177536,17.56985126
59,57.6,34.85714286,47,5.945833333,24.1
64,46.3,16.4,44.28571429,24.84728261,23.92381423
44,34.4,14.7,23,4.784782609,24.53333333
52,36.3,11.5,36.42857143,10.43731884,27.43152174
48,37,16.2625,38.85714286,9.831752306,27.09011858
42,22.6,5.18,20.28571429,16.97282609,19.61547619
55,34.3,22.2,51.5,11.36231884,33.95833333
55,41,18.41428571,42.14285714,5.861111111,42.91904762
45,30.5,7.728571429,23.75,18.98611111,17.10833333
40,25,13.7,25,7.149758454,32.30952381
39,35.2,26.2125,37.625,0.854166667,15.11666667
37,32.2,23.45,29.625,6.569444444,27.78484849
32,19.9,11.2,17,7.652777778,27.26666667
30,15.3,20.6,25,3.951690821,34.20652174
50,32.9,16.44,31.14285714,5.944444444,30.51428571
53,48,18.5,43,8.266908213,28.41530797
38,33.5,24.95714286,28.28571429,2.282608696,25.95075758
31,25,12.6,24,4.708333333,30.22916667
35,30.6,23.8,19.5,1.597222222,24.95833333
38,34.2,13.7625,15.28571429,10.55072464,21.13586957
23,17.9,13.5,17.5,7.890700483,24.62983092
21,11,12.7,24.75,13.56642512,16.90625048
8,-1.6,12.6,27,7.901515152,28.1620224
10,3.8,20.8,39,6.236111111,29.6
28,14.3,6.728571429,26.75,20.02777778,15.56666667
36,30.2,12.8,24.5,3.644323672,25.53857143
42,32.2,25.7,29.33333333,4.621212121,24.06944444
48,42.3,30.6,47.5,16.52777778,16.3125
35,33.7,12.45,11.5,9.099033816,15.11458333
28,22.2,11.55,19,11.05917874,23.80178571
20,16.6,18.6,23.5,4.352657005,20.34980237
34,25.3,18.4,32,3.761857708,22.08804348
25,13.3,16.8,27,7.938131313,26.1
37,28.5,15.5,27,6.194444444,23.76666667
39,38.5,25.7,25.5,1.805555556,21.24166667
42,34.9,15.18571429,17,7.944444444,19.73214286
33,21.5,7.8,24.5,11.81944444,17.76534914
31,21.7,11.3,18,11.93357488,21.39456522
25,18.4,12.1,19.14285714,8.736111111,26.70869565
20,14.5,20.45,28,3.111714976,35.15833333
34,24.2,19.65,35,3.319444444,23.84166667
31,19.4,11.675,16,20.5,13.78333333
22,12.7,11.7,23.5,17.94444444,20.06666667
25,20.9,20.1,24.5,4.140096618,28.31558442
21,15.7,23.05,33.28571429,3.027777778,41.32246377
10,2.1,16,22.5,12.83454106,27.92380952
5,-3.2,31.8,46.5,6.392676768,38.1870224
17,14.5,27.75714286,31.5,5.430555556,36.375
16,4.3,19.8,27,14.63888889,20.1
6,-0.6,25.4,36,6.180555556,36.1
17,8.5,15.08571429,23.85714286,10.57575758,28.09106061
15,5.4,10.1,31,9.194444444,31.81745718
20,11.5,16.7,26,10.85326087,35.51136364
21,14.5,30.61428571,48.5,6.194444444,47.25
24,19.1,17.1,32,21.30555556,22.06666667
28,23.3,32.1,28,8.819444444,30.34166667
20,14.4,32.425,33.85714286,11.65277778,32.775
25,16.5,21.1,28.5,9.402777778,33.53452381
21,16,31.7,41,6.5,37.12132035
33,26.7,25.05,28,10.18686869,29.03932806
25,19,15.5,20.5,12.2089372,30.06630435
21,16.5,19.8,27,11.47222222,28.20833333
23,21.6,34.3,37.66666667,6.305555556,33.28125
26,23.3,25,25.5,14.3647343,30.13656863
22,21.6,30.6,39,9.861111111,42.68478261
41,30.2,37.25,41.5,11.5205314,29.14229249
35,32.1,40.4,55,7.888888889,30.01666667
24,13.9,8.5,16,19.43055556,24.89166667
24,14.5,20.02857143,27.16666667,21.375,26.49166667
30,26.8,26.75,36,11.81944444,21.99166667
26,22.5,13.45,17,13.1780303,30.77121212
31,28.1,26.83333333,29.5,4.986111111,31.99166667
28,19,15.4,25,16.46497585,28.98143116
27,18.6,25.2,34,14.30072464,30.87594697
30,27.8,14.82857143,20.14285714,24.04166667,17.51136364
29,21.7,21.5,16,22.37373737,23.76666667
27,19.7,26.3,26,23.08333333,28.6
35,29.1,24.34285714,40,8.305555556,37.34565217
49,40.3,21.1,39,8.305555556,32.23181818
59,40.6,26.8,61,26.48611111,31.83405797
49,49.9,19.64285714,22.16666667,15.26897861,26.65538961
55,50.3,17.2,48.5,15.32789855,25.39927536
56,51.7,9.7,28.5,24.61111111,15.61666667
45,30.7,4.9625,11.5,21.83333333,13.06862745
43,26.8,18.1,37,10.5,36.41547619
54,34.4,12.4,35,19.9673913,28.32427536
46,32.9,9.9125,15.83333333,23.59126984,18.89223603
33,23.8,7,11.5,25.76690821,19.24746377
35,24.1,11.6,27,20,31.03333333
46,30.7,19.9625,37,13.01388889,33.025
52,36.5,25.8,32,11.86111111,31.30833333
51,32.1,23.2,51.5,16.625,40.40833333
66,49.7,21.2875,38.28571429,21.75,30.39584322
67,50.9,21.3,78,27.48611111,24.90362319
46,32.7,7.3,42.5,18.1968599,13.31666667
30,21.9,8.9875,11,19.24637681,18.56956522
30,19,5.9,6,27.45833333,14.2
34,19.3,17.9,20,13.43055556,31.575
39,33.4,30.2625,33.57142857,4.125,32.26333333
45,32.6,26.1,45.5,13.99396135,25.34202899
50,41.9,29.9,34,16.55615942,25.85471015
33,22.3,5.614285714,5.5,37.41666667,11.825
32,18.5,7.5,11,34.50569358,15.15181159
34,20.8,15.1,18,21.25,20.73333333
39,34.1,21.74285714,26.85714286,15.04166667,16.06666667
49,46.4,17.05,19.5,14.28333333,21.75833333
47,45.3,28.9,36,1.85942029,25.61666667
51,44,34.4625,52.5,7.132142857,35.06818182
50,43.7,39.8,62.5,14.90543478,36.35274327
57,49,25.5,39,18.09855073,29.6
53,32.8,6.628571429,18.71428571,30.45,15.99166667
52,31.8,7.8,24.5,30.59166667,22.24166667
47,31.2,7.2,21,27.82463768,18.86666667
39,31.1,8.128571429,14,14.98913044,25.03586957
40,29.3,9.7,18.5,16.52954546,23.88125824
40,31,15,27,19.75,27.9
45,28.1,27.95714286,51.57142857,10.06521739,50.81123188
52,33.9,22.9,48,14.06944444,37.23333333
51,42.5,40.3,46,21.6712963,25.925
52,34.3,26.34285714,45,17.7923913,27.06666667
38,19.7,7.1,18.5,23.79692029,24.37272727
44,23.8,14.7,61,22.35,30.96071429
53,27.3,8.428571429,78.16666667,23.84365942,21.34855073
41,32.7,9.4,29,13.8905303,23.42708333
34,23,8.7,22.5,25.85833333,22.86458333
45,26.7,12.1125,21.5,21.69824561,22.27833333
37,28.1,9.1,17.5,26.98019324,16.2692029
34,33.1,12.1,12,20.95994364,22.37348485
39,25.3,18.0375,28.57142857,19.81521739,29.51268116
49,28.3,19.4,39,21.0615942,33.24166667
58,42.8,21,72,23.77651515,28.10833333
56,46.9,23.4625,46,23.35606061,15.575
44,40.9,14.8,20,17.79776021,15.73958333
41,38.9,16.4,14.5,14.69534632,17.04595238
48,42.5,29.38571429,35.28571429,7.805545574,28.60578947
52,48.8,46.7,45.5,8.828662115,25.88225108
53,50.2,25.25,27,12.6097886,22.56666667
44,35,7.571428571,8,28.34387352,18.89166667
48,31.4,17.75,24.5,20.03315217,37.35833333
47,40.3,13,20.5,31.55,21.49166667
52,32.6,9.266666667,18.71428571,32.96594203,20.71630435
49,23.4,13,13,34.91308839,21.025
52,24.2,12.25,24.5,26.48334274,34.11521739
53,26.3,17.62857143,60,23.00461133,43.86458333
54,32.2,14.9,52.5,28.84504132,34.65
48,39.1,5.4,10.5,22.22348485,11.19166667
54,40,14.6625,35.33333333,23.01515152,29.55833333
57,49.2,24.7,45,21.13139298,39.18118687
57,43.1,12.4,36,25.71843933,30.61245608
63,48.6,17.325,45.5,30.83502515,34.71936759
72,58.1,12.6,62.5,31.49917655,23.23809524
74,59.3,18.6,65,33.84156785,24.06944444
74,61.3,13.4875,38.28571429,32.01666667,15.94444444
71,65,14.65,29.5,25.2875,15.85019841
76,67.5,23,85,24.94071146,16.35464113
59,55,8.657142857,15.5,20.77289196,16.65277778
55,45,8,21.5,20.48731884,23.30706522
67,59.9,22.5,43.5,19.27638513,28.43723893
73,66.8,25.725,38,22.82114625,21.05163044
53,38.4,5,31.5,24.53787879,13.375
52,33,7.2,20,32.10227273,18.97222222
57,35,11.475,37,18.50757576,37.4469697
61,49.6,22.1,41,19.04417766,32.10795455
61,56.5,40.3,48,14.45188047,29.49279676
58,51.8,15.05,24.85714286,27.8990448,17.95833333
46,40.3,5.6,5.5,25.23962451,14.03472222
55,37.8,9.7,16.5,23.31852617,22.01641414
57,48.6,17.81428571,29.5,26.59469697,24.74431818
67,56.4,15.7,51.5,19.03606719,32.51690821
69,52,9.9,42,24.7363307,29.84199448
68,42.2,11.0125,59.14285714,33.98517787,26.20169082
64,36.5,9.1,56.5,29.27570667,26.54464286
61,48.5,18.4,58.5,17.31554677,38.58408816
60,55.9,26.6125,31.5,32.32575758,13.61805556
55,52,13.5,10.5,25.39015152,11.525
56,47.4,7,9.5,25.86363636,14.25
65,61.4,22.82857143,32.71428571,26.42114325,29.21147661
67,64.8,28,46.5,13.86972991,28.50437063
73,65.5,22.8,49,33.45290283,23.623446
60,52.8,10.025,22,25.87396694,17.96527778
55,44.9,2.8,12,29.45075758,13.11805556
56,50.6,12.8,20,28.03112648,14.44927536
54,47,9.575,15.14285714,30.64091508,13.00496032
60,41.8,8.7,36,20.42313451,28.65523637
64,46.8,13.25,65.5,33.56151186,30.24802372
78,59.8,17.22857143,55,50.61923584,24.58134921
77,57.5,18.3,76,55.76103426,24.19047619
80,67,15.9,82.5,32.04924242,16.16666667
70,66.8,10.67142857,21.14285714,16.02272727,10.575
57,56,9.2,11.5,8.594155844,10.51753247
69,63.8,13.7,29,12.96903821,24.72929607
72,64.6,10.64285714,33,27.55673584,22.67410714
70,58.8,9.3,21,26.69689484,16.79166667
67,60.3,8.5,22.5,23.03178524,17.9580314
60,45.3,4.2,11.83333333,25.7594697,11.50694444
65,46.9,6,11.5,29.39393939,15.625
66,57,15.9,40.5,30.64393939,25.99810606
74,68.6,16.2625,31.5,21.42630854,19.65416667
74,58,6.5,16.5,26.47543119,15.43008893
72,56.2,7.2,23,28.59782609,16.61111111
71,61.7,14.22857143,27.66666667,24.21805007,30.09690657
71,67.5,9.4,23.5,22.76136364,17.36111111
75,65.1,16.45,25.5,29.92234849,20.55555556
72,63.9,9.925,19,22.38119835,22.1577381
68,52.6,8.7,20.5,19.68626482,22.49603175
62,57,11.4,30,10.01696311,29.57829851
66,52.3,10.2625,22.25,20.10499012,22.93297101
66,54.7,14.3,28,20.96355851,29.55555556
71,61.2,18.2,27,34.74538867,20.00332126
74,70,24.25714286,32,35.71138011,13.88888889
68,64.7,11.9,15,21.27363307,13.58333333
70,64.5,15.9,22,27.28030303,11.96527778
76,65,18.75,31.25,40.79257246,16.22441809
74,64.2,16.9,26.5,38.00994131,15.64646465
70,58,7.6,22,24.57476943,13.75338596
73,64,17.525,38,34.34469697,18.76388889
81,70.7,25.5,46.5,37.20454546,12.92361111
73,68.3,10.6,20.5,29.3157197,20.94891853
